fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"102",5940,0.742338833900672,7.67441860465116,Alberta-British Columbia foothills forests,"3212",,,Alberta_BC_foothills_forest,5,North America
"103",5941,0.223177132455624,8.59302325581395,Alberta-British Columbia foothills forests,"6041",,,Alberta_BC_foothills_forest,5,North America
"104",5942,0.538907059245813,0.465116279069767,Alberta-British Columbia foothills forests,"89",,,Alberta_BC_foothills_forest,5,North America
"105",6021,0.453725287575166,4.74418604651163,Alberta-British Columbia foothills forests,"3646",,,Alberta_BC_foothills_forest,5,North America
"106",6022,0.231276254463026,8.22093023255814,Alberta-British Columbia foothills forests,"6027",,,Alberta_BC_foothills_forest,5,North America
"107",6023,0.382826694016905,8.83720930232558,Alberta-British Columbia foothills forests,"6345",,,Alberta_BC_foothills_forest,5,North America
"108",6024,2.45459639090214,0.0930232558139535,Alberta-British Columbia foothills forests,"1646",,,Alberta_BC_foothills_forest,5,North America
"109",6103,2.51951938728645,19.6363636363636,Alberta-British Columbia foothills forests,"1331",,,Alberta_BC_foothills_forest,5,North America
"110",6104,1.0630094733274,4.73863636363636,Alberta-British Columbia foothills forests,"4412",,,Alberta_BC_foothills_forest,5,North America
"111",6105,0.409632180805851,10.1818181818182,Alberta-British Columbia foothills forests,"4934",,,Alberta_BC_foothills_forest,5,North America
"112",6106,0.31130207760389,4.56818181818182,Alberta-British Columbia foothills forests,"6404",,,Alberta_BC_foothills_forest,5,North America
"113",6107,1.74137583935771,0.0795454545454545,Alberta-British Columbia foothills forests,"2717",,,Alberta_BC_foothills_forest,5,North America
"114",6185,1.22166923864187,8.95348837209302,Alberta-British Columbia foothills forests,"1761",,,Alberta_BC_foothills_forest,5,North America
"115",6187,0.320622024028982,5.43023255813953,Alberta-British Columbia foothills forests,"1745",,,Alberta_BC_foothills_forest,5,North America
"116",6188,0.0424572196213934,3.2093023255814,Alberta-British Columbia foothills forests,"1006",,,Alberta_BC_foothills_forest,5,North America
"117",6189,0.0285990530523393,0.430232558139535,Alberta-British Columbia foothills forests,"249",,,Alberta_BC_foothills_forest,5,North America
"118",5612,6.72634817554061,2,Alberta Mountain forests,"1421",,,Alberta_mountain_forest,5,North America
"119",5613,0.153801603044106,0.636363636363636,Alberta Mountain forests,"9",,,Alberta_mountain_forest,5,North America
"120",5693,1.76269595684292,3.14772727272727,Alberta Mountain forests,"49",,,Alberta_mountain_forest,5,North America
"121",5694,3.50097422376595,1.09090909090909,Alberta Mountain forests,"5456",,,Alberta_mountain_forest,5,North America
"122",5695,0.545340807250851,0.920454545454545,Alberta Mountain forests,"577",,,Alberta_mountain_forest,5,North America
"123",5776,0.674370337941535,4.41666666666667,Alberta Mountain forests,"885",,,Alberta_mountain_forest,5,North America
"124",5777,2.1463859181058,0.55952380952381,Alberta Mountain forests,"5713",,,Alberta_mountain_forest,5,North America
"125",5778,2.71265055959733,0.642857142857143,Alberta Mountain forests,"241",,,Alberta_mountain_forest,5,North America
"126",5858,0.325468185431316,5.93181818181818,Alberta Mountain forests,"730",,,Alberta_mountain_forest,5,North America
"127",5859,3.52249761072846,0.693181818181818,Alberta Mountain forests,"6019",,,Alberta_mountain_forest,5,North America
"128",5860,0.800139215096018,0.556818181818182,Alberta Mountain forests,"935",,,Alberta_mountain_forest,5,North America
"129",5941,0.223177132455624,8.59302325581395,Alberta Mountain forests,"356",,,Alberta_mountain_forest,5,North America
"130",5942,0.538907059245813,0.465116279069767,Alberta Mountain forests,"6337",,,Alberta_mountain_forest,5,North America
"131",5943,1.12806897578501,0.558139534883721,Alberta Mountain forests,"669",,,Alberta_mountain_forest,5,North America
"132",6023,0.382826694016905,8.83720930232558,Alberta Mountain forests,"128",,,Alberta_mountain_forest,5,North America
"133",6024,2.45459639090214,0.0930232558139535,Alberta Mountain forests,"4882",,,Alberta_mountain_forest,5,North America
"134",6025,5.85333952847522,0.418604651162791,Alberta Mountain forests,"1291",,,Alberta_mountain_forest,5,North America
"135",6107,1.74137583935771,0.0795454545454545,Alberta Mountain forests,"3327",,,Alberta_mountain_forest,5,North America
"136",6108,6.10901216150339,0.420454545454545,Alberta Mountain forests,"908",,,Alberta_mountain_forest,5,North America
"137",9314,0.0210493235453595,0.431818181818182,Allegheny Highlands forests,"29",,,Allegheny_Highland_forests,4,North America
"138",9315,0.202389533487528,1.05681818181818,Allegheny Highlands forests,"20",,,Allegheny_Highland_forests,4,North America
"139",9397,0.0161870296668103,0.546511627906977,Allegheny Highlands forests,"2249",,,Allegheny_Highland_forests,4,North America
"140",9478,0,0.476744186046512,Allegheny Highlands forests,"5310",,,Allegheny_Highland_forests,4,North America
"141",9479,0,0,Allegheny Highlands forests,"746",,,Allegheny_Highland_forests,4,North America
"142",9560,0,1.53409090909091,Allegheny Highlands forests,"4548",,,Allegheny_Highland_forests,4,North America
"143",9561,0,0.102272727272727,Allegheny Highlands forests,"6561",,,Allegheny_Highland_forests,4,North America
"144",9641,0.0165525431750291,2.23255813953488,Allegheny Highlands forests,"2761",,,Allegheny_Highland_forests,4,North America
"145",9642,0,0.5,Allegheny Highlands forests,"7970",,,Allegheny_Highland_forests,4,North America
"146",9643,0.425627710432436,0.0465116279069767,Allegheny Highlands forests,"2770",,,Allegheny_Highland_forests,4,North America
"147",9724,0.0027428886993442,0.837209302325581,Allegheny Highlands forests,"6969",,,Allegheny_Highland_forests,4,North America
"148",9725,0,0.593023255813954,Allegheny Highlands forests,"6242",,,Allegheny_Highland_forests,4,North America
"149",9805,0,3.28409090909091,Allegheny Highlands forests,"2573",,,Allegheny_Highland_forests,4,North America
"150",9806,0,0.681818181818182,Allegheny Highlands forests,"7970",,,Allegheny_Highland_forests,4,North America
"151",9807,0.145191677804292,0.5,Allegheny Highlands forests,"1618",,,Allegheny_Highland_forests,4,North America
"152",9888,0.00548572128682088,1.46428571428571,Allegheny Highlands forests,"7187",,,Allegheny_Highland_forests,4,North America
"153",9889,0.214592501541838,1.30952380952381,Allegheny Highlands forests,"7077",,,Allegheny_Highland_forests,4,North America
"154",9890,0,0.119047619047619,Allegheny Highlands forests,"256",,,Allegheny_Highland_forests,4,North America
"155",9969,0,2.75,Allegheny Highlands forests,"1546",,,Allegheny_Highland_forests,4,North America
"156",9970,0.135255058566878,1.75,Allegheny Highlands forests,"7430",,,Allegheny_Highland_forests,4,North America
"157",9971,0,3.54545454545455,Allegheny Highlands forests,"1684",,,Allegheny_Highland_forests,4,North America
"158",10052,0,2.51162790697674,Allegheny Highlands forests,"463",,,Allegheny_Highland_forests,4,North America
"159",10053,0,2.94186046511628,Allegheny Highlands forests,"31",,,Allegheny_Highland_forests,4,North America
"160",4628,0.00694982731684485,7.85227272727273,British Columbia mainland coastal forests,"111",,,BC_mainland_coastal_forest,5,North America
"161",4709,0.0598729694014372,13.093023255814,British Columbia mainland coastal forests,"1992",,,BC_mainland_coastal_forest,5,North America
"162",4710,0.0167798370559094,19.3488372093023,British Columbia mainland coastal forests,"2847",,,BC_mainland_coastal_forest,5,North America
"163",4790,0.120734113748103,1.55813953488372,British Columbia mainland coastal forests,"1099",,,BC_mainland_coastal_forest,5,North America
"164",4791,0.659737503108586,7,British Columbia mainland coastal forests,"3512",,,BC_mainland_coastal_forest,5,North America
"165",4792,0.504158821011655,4.31395348837209,British Columbia mainland coastal forests,"6157",,,BC_mainland_coastal_forest,5,North America
"166",4793,0.0207833779407861,13.6627906976744,British Columbia mainland coastal forests,"2630",,,BC_mainland_coastal_forest,5,North America
"167",4872,0.441254544250394,2.93023255813953,British Columbia mainland coastal forests,"1747",,,BC_mainland_coastal_forest,5,North America
"168",4873,0.84164665139518,2.43023255813953,British Columbia mainland coastal forests,"6170",,,BC_mainland_coastal_forest,5,North America
"169",4874,0.589153035479692,4.63953488372093,British Columbia mainland coastal forests,"6059",,,BC_mainland_coastal_forest,5,North America
"170",4875,0.00670606712700266,13.906976744186,British Columbia mainland coastal forests,"3828",,,BC_mainland_coastal_forest,5,North America
"171",4876,0.00328465874836372,10.3023255813953,British Columbia mainland coastal forests,"269",,,BC_mainland_coastal_forest,5,North America
"172",4955,2.84370951990293,2.25,British Columbia mainland coastal forests,"1888",,,BC_mainland_coastal_forest,5,North America
"173",4956,1.51598060113844,1.65909090909091,British Columbia mainland coastal forests,"1632",,,BC_mainland_coastal_forest,5,North America
"174",4957,0.348487634336809,2.79545454545455,British Columbia mainland coastal forests,"4929",,,BC_mainland_coastal_forest,5,North America
"175",4958,0.0212219832526939,9.73863636363636,British Columbia mainland coastal forests,"4996",,,BC_mainland_coastal_forest,5,North America
"176",4959,0.0421830105272042,15.2159090909091,British Columbia mainland coastal forests,"4599",,,BC_mainland_coastal_forest,5,North America
