fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,_CMI_mean
"79",2084,0,0,Alaska Peninsula montane taiga,"29",,,Alaska_Peninsula_montane_taiga,
"80",2165,0,10.9186046511628,Alaska Peninsula montane taiga,"2395",,,Alaska_Peninsula_montane_taiga,0.740999990701675
"81",2166,0,0.290697674418605,Alaska Peninsula montane taiga,"379",,,Alaska_Peninsula_montane_taiga,
"82",2245,0.425548724124321,4.45454545454545,Alaska Peninsula montane taiga,"40",,,Alaska_Peninsula_montane_taiga,0.655091375734459
"83",2246,0,4.15909090909091,Alaska Peninsula montane taiga,"1750",,,Alaska_Peninsula_montane_taiga,0.732800004482269
"84",2247,0,0.147727272727273,Alaska Peninsula montane taiga,"332",,,Alaska_Peninsula_montane_taiga,0.759999990463257
"85",2327,0.756175524118305,1.17441860465116,Alaska Peninsula montane taiga,"877",,,Alaska_Peninsula_montane_taiga,0.746363634412939
"86",2328,0.00387009046259998,4.93023255813953,Alaska Peninsula montane taiga,"4038",,,Alaska_Peninsula_montane_taiga,0.827413812793534
"87",2329,0,0.418604651162791,Alaska Peninsula montane taiga,"582",,,Alaska_Peninsula_montane_taiga,0.699999988079071
"88",2409,0.0313915879713056,2.13953488372093,Alaska Peninsula montane taiga,"4389",,,Alaska_Peninsula_montane_taiga,0.761846137963809
"89",2410,0,0.988372093023256,Alaska Peninsula montane taiga,"1499",,,Alaska_Peninsula_montane_taiga,0.807894750645286
"90",2491,0.0199041219924529,0.895348837209302,Alaska Peninsula montane taiga,"41",,,Alaska_Peninsula_montane_taiga,0.839999973773956
"91",2492,0,0.63953488372093,Alaska Peninsula montane taiga,"1080",,,Alaska_Peninsula_montane_taiga,0.833076898868267
"92",5363,1.17680849469142,0.790697674418605,Alberta-British Columbia foothills forests,"559",,,Alberta_BC_foothills_forest,0.270000010728836
"93",5445,3.57176938434339,1.10227272727273,Alberta-British Columbia foothills forests,"444",,,Alberta_BC_foothills_forest,0.17000000551343
"94",5446,1.65378287153176,3.05681818181818,Alberta-British Columbia foothills forests,"4246",,,Alberta_BC_foothills_forest,0.164666667611649
"95",5526,0.710728569484401,12.4642857142857,Alberta-British Columbia foothills forests,"359",,,Alberta_BC_foothills_forest,-0.0299999993294477
"96",5527,5.72440763444107,6.65476190476191,Alberta-British Columbia foothills forests,"5300",,,Alberta_BC_foothills_forest,0.0373684208791115
"97",5528,2.35620164941444,5.10714285714286,Alberta-British Columbia foothills forests,"938",,,Alberta_BC_foothills_forest,0.0299999993294477
"98",5528,2.35620164941444,5.10714285714286,Alberta-British Columbia foothills forests,"496",,,Alberta_BC_foothills_forest,0.199999998013178
"99",5529,0.874120657594628,1.46428571428571,Alberta-British Columbia foothills forests,"120",,,Alberta_BC_foothills_forest,0.334999993443489
"100",5608,3.20602729798672,10.625,Alberta-British Columbia foothills forests,"262",,,Alberta_BC_foothills_forest,-0.119999997317791
"101",5609,6.02062440534029,21.2727272727273,Alberta-British Columbia foothills forests,"5658",,,Alberta_BC_foothills_forest,0.000249999552033842
"102",5610,8.24222492220342,9.90909090909091,Alberta-British Columbia foothills forests,"2961",,,Alberta_BC_foothills_forest,-0.0434285720012018
"103",5611,2.48178046520782,3.79545454545455,Alberta-British Columbia foothills forests,"4393",,,Alberta_BC_foothills_forest,0.201090902631933
"104",5612,6.72634817554061,2,Alberta-British Columbia foothills forests,"1805",,,Alberta_BC_foothills_forest,0.399130429910577
"105",5690,4.12230498054696,29.0454545454545,Alberta-British Columbia foothills forests,"4220",,,Alberta_BC_foothills_forest,-0.00142857063637704
"106",5691,3.10591493520363,19.125,Alberta-British Columbia foothills forests,"5690",,,Alberta_BC_foothills_forest,0.00705882337163476
"107",5692,1.36579791996963,2.44318181818182,Alberta-British Columbia foothills forests,"61",,,Alberta_BC_foothills_forest,-0.0972091377354418
"108",5692,1.36579791996963,2.44318181818182,Alberta-British Columbia foothills forests,"1319",,,Alberta_BC_foothills_forest,-0.0731249980162829
"109",5693,1.76269595684292,3.14772727272727,Alberta-British Columbia foothills forests,"1867",,,Alberta_BC_foothills_forest,0.147499998565763
"110",5694,3.50097422376595,1.09090909090909,Alberta-British Columbia foothills forests,"301",,,Alberta_BC_foothills_forest,0.373437283433847
"111",5772,0.471063492279506,25.5,Alberta-British Columbia foothills forests,"564",,,Alberta_BC_foothills_forest,-0.0716666666169961
"112",5773,1.98061885773503,24.4404761904762,Alberta-British Columbia foothills forests,"5172",,,Alberta_BC_foothills_forest,-0.0148936166883783
"113",5774,1.72782211985964,4.23809523809524,Alberta-British Columbia foothills forests,"3039",,,Alberta_BC_foothills_forest,-0.0464444451861911
"114",5775,0.486853399127272,2.51190476190476,Alberta-British Columbia foothills forests,"1164",,,Alberta_BC_foothills_forest,-0.144999996892044
"115",5776,0.674370337941535,4.41666666666667,Alberta-British Columbia foothills forests,"3900",,,Alberta_BC_foothills_forest,0.0645454536107453
"116",5777,2.1463859181058,0.55952380952381,Alberta-British Columbia foothills forests,"186",,,Alberta_BC_foothills_forest,0.430000007152557
"117",5854,19.3466186375179,13.2954545454545,Alberta-British Columbia foothills forests,"1119",,,Alberta_BC_foothills_forest,-0.0738461547746108
"118",5855,4.82811288332854,7,Alberta-British Columbia foothills forests,"3877",,,Alberta_BC_foothills_forest,-0.0931372536236749
"119",5856,0.970420343984598,3.48863636363636,Alberta-British Columbia foothills forests,"499",,,Alberta_BC_foothills_forest,-0.205000005662441
"120",5857,0.939284208542462,3.86363636363636,Alberta-British Columbia foothills forests,"817",,,Alberta_BC_foothills_forest,-0.0199999995529652
"121",5858,0.325468185431316,5.93181818181818,Alberta-British Columbia foothills forests,"5592",,,Alberta_BC_foothills_forest,0.180135131284997
"122",5859,3.52249761072846,0.693181818181818,Alberta-British Columbia foothills forests,"446",,,Alberta_BC_foothills_forest,0.310000002384186
"123",5937,3.50417484043744,8.80232558139535,Alberta-British Columbia foothills forests,"383",,,Alberta_BC_foothills_forest,-0.141999998688698
"124",5939,2.96959670689355,4.18604651162791,Alberta-British Columbia foothills forests,"59",,,Alberta_BC_foothills_forest,-0.0811947639119213
"125",5940,0.742338833900672,7.67441860465116,Alberta-British Columbia foothills forests,"3212",,,Alberta_BC_foothills_forest,0.0584210525021741
"126",5941,0.223177132455624,8.59302325581395,Alberta-British Columbia foothills forests,"6041",,,Alberta_BC_foothills_forest,0.165194806921018
"127",5942,0.538907059245813,0.465116279069767,Alberta-British Columbia foothills forests,"89",,,Alberta_BC_foothills_forest,0.479999989271164
"128",6021,0.453725287575166,4.74418604651163,Alberta-British Columbia foothills forests,"3646",,,Alberta_BC_foothills_forest,0.124090908179906
"129",6022,0.231276254463026,8.22093023255814,Alberta-British Columbia foothills forests,"6027",,,Alberta_BC_foothills_forest,0.121265824365465
"130",6023,0.382826694016905,8.83720930232558,Alberta-British Columbia foothills forests,"6345",,,Alberta_BC_foothills_forest,0.222098768125346
"131",6024,2.45459639090214,0.0930232558139535,Alberta-British Columbia foothills forests,"1646",,,Alberta_BC_foothills_forest,0.477619057609921
"132",6103,2.51951938728645,19.6363636363636,Alberta-British Columbia foothills forests,"1331",,,Alberta_BC_foothills_forest,0.0427272719415751
"133",6104,1.0630094733274,4.73863636363636,Alberta-British Columbia foothills forests,"4412",,,Alberta_BC_foothills_forest,0.189655171321898
"134",6105,0.409632180805851,10.1818181818182,Alberta-British Columbia foothills forests,"4934",,,Alberta_BC_foothills_forest,0.0840322566368887
"135",6106,0.31130207760389,4.56818181818182,Alberta-British Columbia foothills forests,"6404",,,Alberta_BC_foothills_forest,0.215512819874745
"136",6107,1.74137583935771,0.0795454545454545,Alberta-British Columbia foothills forests,"2717",,,Alberta_BC_foothills_forest,0.300937501597218
"137",6185,1.22166923864187,8.95348837209302,Alberta-British Columbia foothills forests,"1761",,,Alberta_BC_foothills_forest,0.0645833337524285
"138",6187,0.320622024028982,5.43023255813953,Alberta-British Columbia foothills forests,"1745",,,Alberta_BC_foothills_forest,0.0530434786949469
"139",6188,0.0424572196213934,3.2093023255814,Alberta-British Columbia foothills forests,"1006",,,Alberta_BC_foothills_forest,0.00545454617928375
"140",6189,0.0285990530523393,0.430232558139535,Alberta-British Columbia foothills forests,"249",,,Alberta_BC_foothills_forest,0.0399999991059303
"141",5612,6.72634817554061,2,Alberta Mountain forests,"1421",,,Alberta_mountain_forest,0.521111090977987
"142",5613,0.153801603044106,0.636363636363636,Alberta Mountain forests,"9",,,Alberta_mountain_forest,0.509999990463257
"143",5693,1.76269595684292,3.14772727272727,Alberta Mountain forests,"49",,,Alberta_mountain_forest,0.365529524600442
"144",5694,3.50097422376595,1.09090909090909,Alberta Mountain forests,"5456",,,Alberta_mountain_forest,0.455972218265136
"145",5695,0.545340807250851,0.920454545454545,Alberta Mountain forests,"577",,,Alberta_mountain_forest,0.627999985218048
"146",5776,0.674370337941535,4.41666666666667,Alberta Mountain forests,"885",,,Alberta_mountain_forest,0.149999999695204
"147",5777,2.1463859181058,0.55952380952381,Alberta Mountain forests,"5713",,,Alberta_mountain_forest,0.516710519790649
"148",5778,2.71265055959733,0.642857142857143,Alberta Mountain forests,"241",,,Alberta_mountain_forest,0.649999976158142
"149",5858,0.325468185431316,5.93181818181818,Alberta Mountain forests,"730",,,Alberta_mountain_forest,0.259999995430311
"150",5859,3.52249761072846,0.693181818181818,Alberta Mountain forests,"6019",,,Alberta_mountain_forest,0.550394727995521
"151",5860,0.800139215096018,0.556818181818182,Alberta Mountain forests,"935",,,Alberta_mountain_forest,0.745555546548631
"152",5941,0.223177132455624,8.59302325581395,Alberta Mountain forests,"356",,,Alberta_mountain_forest,0.230000004172325
"153",5942,0.538907059245813,0.465116279069767,Alberta Mountain forests,"6337",,,Alberta_mountain_forest,0.750897444593601
"154",5943,1.12806897578501,0.558139534883721,Alberta Mountain forests,"669",,,Alberta_mountain_forest,0.699999988079071
"155",6023,0.382826694016905,8.83720930232558,Alberta Mountain forests,"128",,,Alberta_mountain_forest,0.479999989271164
"156",6024,2.45459639090214,0.0930232558139535,Alberta Mountain forests,"4882",,,Alberta_mountain_forest,0.724166678388913
"157",6025,5.85333952847522,0.418604651162791,Alberta Mountain forests,"1291",,,Alberta_mountain_forest,0.629333329200745
"158",6107,1.74137583935771,0.0795454545454545,Alberta Mountain forests,"3327",,,Alberta_mountain_forest,0.550000007559614
"159",6108,6.10901216150339,0.420454545454545,Alberta Mountain forests,"908",,,Alberta_mountain_forest,0.674999997019768
"160",9314,0.0210493235453595,0.431818181818182,Allegheny Highlands forests,"29",,,Allegheny_Highland_forests,0.286080012166485
"161",9315,0.202389533487528,1.05681818181818,Allegheny Highlands forests,"20",,,Allegheny_Highland_forests,0.259999990463257
"162",9397,0.0161870296668103,0.546511627906977,Allegheny Highlands forests,"2249",,,Allegheny_Highland_forests,0.336249999081095
"163",9478,0,0.476744186046512,Allegheny Highlands forests,"5310",,,Allegheny_Highland_forests,0.463888888005857
"164",9479,0,0,Allegheny Highlands forests,"746",,,Allegheny_Highland_forests,0.375714280775615
"165",9560,0,1.53409090909091,Allegheny Highlands forests,"4548",,,Allegheny_Highland_forests,0.448478254935016
"166",9561,0,0.102272727272727,Allegheny Highlands forests,"6561",,,Allegheny_Highland_forests,0.440307690088566
"167",9641,0.0165525431750291,2.23255813953488,Allegheny Highlands forests,"2761",,,Allegheny_Highland_forests,0.319629634971972
"168",9642,0,0.5,Allegheny Highlands forests,"7970",,,Allegheny_Highland_forests,0.441927710211421
"169",9643,0.425627710432436,0.0465116279069767,Allegheny Highlands forests,"2770",,,Allegheny_Highland_forests,0.404285711901529
"170",9724,0.0027428886993442,0.837209302325581,Allegheny Highlands forests,"6969",,,Allegheny_Highland_forests,0.331111118197441
"171",9725,0,0.593023255813954,Allegheny Highlands forests,"6242",,,Allegheny_Highland_forests,0.367936508050041
"172",9805,0,3.28409090909091,Allegheny Highlands forests,"2573",,,Allegheny_Highland_forests,0.348695653936137
"173",9806,0,0.681818181818182,Allegheny Highlands forests,"7970",,,Allegheny_Highland_forests,0.366125003248453
"174",9807,0.145191677804292,0.5,Allegheny Highlands forests,"1618",,,Allegheny_Highland_forests,0.333846154121252
"175",9888,0.00548572128682088,1.46428571428571,Allegheny Highlands forests,"7187",,,Allegheny_Highland_forests,0.413421053635447
"176",9889,0.214592501541838,1.30952380952381,Allegheny Highlands forests,"7077",,,Allegheny_Highland_forests,0.386621626647743
"177",9890,0,0.119047619047619,Allegheny Highlands forests,"256",,,Allegheny_Highland_forests,0.344418477863677
"178",9969,0,2.75,Allegheny Highlands forests,"1546",,,Allegheny_Highland_forests,0.449999988079071
"179",9970,0.135255058566878,1.75,Allegheny Highlands forests,"7430",,,Allegheny_Highland_forests,0.46613334218661
"180",9971,0,3.54545454545455,Allegheny Highlands forests,"1684",,,Allegheny_Highland_forests,0.402499988675117
"181",10052,0,2.51162790697674,Allegheny Highlands forests,"463",,,Allegheny_Highland_forests,0.509999990463257
"182",10053,0,2.94186046511628,Allegheny Highlands forests,"31",,,Allegheny_Highland_forests,0.330000013113022
"183",17511,,0.779069767441861,Alps conifer and mixed forests,"1055",0.241509344515098,,Alps_conifer_forest,0.399230774778586
"184",17592,,1.98837209302326,Alps conifer and mixed forests,"118",0.0936676159495874,,Alps_conifer_forest,0.387752085989533
"185",17593,,1.98837209302326,Alps conifer and mixed forests,"3109",0.1608655929038,,Alps_conifer_forest,0.553939405715827
"186",17594,,0.837209302325581,Alps conifer and mixed forests,"2732",0.124259230173066,,Alps_conifer_forest,0.644814820201309
"187",17673,,2.06976744186047,Alps conifer and mixed forests,"208",0.242356873031935,,Alps_conifer_forest,0.629999995231628
"188",17674,,1.90697674418605,Alps conifer and mixed forests,"6559",0.0377798639678962,,Alps_conifer_forest,0.708428571905409
"189",17675,,1.06976744186047,Alps conifer and mixed forests,"7496",0.470670515244297,,Alps_conifer_forest,0.722911400131032
"190",17676,,0.825581395348837,Alps conifer and mixed forests,"2236",0.54355636474628,,Alps_conifer_forest,0.643636367537759
"191",17756,,2.44318181818182,Alps conifer and mixed forests,"5935",0.0962557598246956,,Alps_conifer_forest,0.848059705833891
"192",17757,,1.27272727272727,Alps conifer and mixed forests,"6007",0.661772714532677,,Alps_conifer_forest,0.627538464619563
"193",17758,,1.30681818181818,Alps conifer and mixed forests,"3290",0.197090506502244,,Alps_conifer_forest,0.522820512453715
"194",17837,,1.97674418604651,Alps conifer and mixed forests,"4170",0.0742632581529135,,Alps_conifer_forest,0.821777780850728
"195",17838,,1.62790697674419,Alps conifer and mixed forests,"6850",0.824100556299791,,Alps_conifer_forest,0.655454545826107
"196",17840,,0.430232558139535,Alps conifer and mixed forests,"189",0.608900768355197,,Alps_conifer_forest,0.300000011920929
"197",17919,,1.83720930232558,Alps conifer and mixed forests,"1662",0.00598555810818762,,Alps_conifer_forest,0.724999990314245
"198",17920,,2.19767441860465,Alps conifer and mixed forests,"7390",0.0964919680276006,,Alps_conifer_forest,0.843875000625849
"199",17921,,1.04651162790698,Alps conifer and mixed forests,"2605",0.827630985091149,,Alps_conifer_forest,0.47600000500679
"200",18000,,3.29545454545455,Alps conifer and mixed forests,"92",0.0030215964276635,,Alps_conifer_forest,0.804545840121407
"201",18001,,2.21590909090909,Alps conifer and mixed forests,"7260",0.00296496265762753,,Alps_conifer_forest,0.85696201384822
"202",18002,,1.71590909090909,Alps conifer and mixed forests,"7208",0.427679035289594,,Alps_conifer_forest,0.710126584089255
"203",18003,,1.09090909090909,Alps conifer and mixed forests,"92",1.45638408213204,,Alps_conifer_forest,0.0399999991059303
"204",18083,,4.61627906976744,Alps conifer and mixed forests,"4579",0.0358526068685896,,Alps_conifer_forest,0.772156860314164
"205",18084,,1.68604651162791,Alps conifer and mixed forests,"7390",0.0234744450532591,,Alps_conifer_forest,0.848674690148917
"206",18085,,1.3953488372093,Alps conifer and mixed forests,"3906",0.637557387695539,,Alps_conifer_forest,0.555714275847588
"207",18164,,3.27906976744186,Alps conifer and mixed forests,"1540",0.0301675809433399,,Alps_conifer_forest,0.555999994277954
"208",18165,,2.17441860465116,Alps conifer and mixed forests,"7322",0.0118475250648235,,Alps_conifer_forest,0.824250015616417
"209",18166,,1.54651162790698,Alps conifer and mixed forests,"5376",0.404721796075064,,Alps_conifer_forest,0.651864406415972
"210",18247,,2.70454545454545,Alps conifer and mixed forests,"5902",0.0926138326530411,,Alps_conifer_forest,0.810447751586117
"211",18248,,2.23863636363636,Alps conifer and mixed forests,"5618",0.270594897710661,,Alps_conifer_forest,0.753384620409745
"212",18328,,1.9047619047619,Alps conifer and mixed forests,"2185",0.0303552247780661,,Alps_conifer_forest,0.727391320726146
"213",18329,,3.0952380952381,Alps conifer and mixed forests,"7322",0.0769967794210296,,Alps_conifer_forest,0.781204818243004
"214",18330,,1.70238095238095,Alps conifer and mixed forests,"392",0.603393728195245,,Alps_conifer_forest,0.761375915123587
"215",18411,,2.65909090909091,Alps conifer and mixed forests,"6521",0.0177339839101329,,Alps_conifer_forest,0.742933320999146
"216",18412,,1.95454545454545,Alps conifer and mixed forests,"5764",0.127125647830211,,Alps_conifer_forest,0.619365083792853
"217",18492,,1.97727272727273,Alps conifer and mixed forests,"3795",0.00603034045608277,,Alps_conifer_forest,0.598372082724128
"218",18493,,2.125,Alps conifer and mixed forests,"3610",0.0355292242822574,,Alps_conifer_forest,0.566285717487335
"219",18494,,1.21590909090909,Alps conifer and mixed forests,"1007",0,,Alps_conifer_forest,0.550000011920929
"220",18574,,0.630952380952381,Alps conifer and mixed forests,"216",1.41962075449263,,Alps_conifer_forest,0.00999999977648258
"221",18575,,1.85714285714286,Alps conifer and mixed forests,"1159",0.354260138282308,,Alps_conifer_forest,0.45833332836628
"222",17922,,2.16279069767442,Appenine deciduous montane forests,"2039",0.267573563841678,,Appenine_deciduous_montane_forest,0.381904770930608
"223",18003,,1.09090909090909,Appenine deciduous montane forests,"0",1.45638408213204,,Appenine_deciduous_montane_forest,0.340000003576279
"224",18004,,1.53409090909091,Appenine deciduous montane forests,"1248",0.29327932584753,,Appenine_deciduous_montane_forest,0.433333323399226
"225",18086,,1.06976744186047,Appenine deciduous montane forests,"124",0.303495305806574,,Appenine_deciduous_montane_forest,0.419999986886978
"226",18086,,1.06976744186047,Appenine deciduous montane forests,"581",0.303495305806574,,Appenine_deciduous_montane_forest,0.274285712412425
"227",18168,,1.08139534883721,Appenine deciduous montane forests,"1022",0.164904012075893,,Appenine_deciduous_montane_forest,0.300000011734664
"228",18168,,1.08139534883721,Appenine deciduous montane forests,"4",0.164904012075893,,Appenine_deciduous_montane_forest,0.330000013113022
"229",18251,,0.818181818181818,Appenine deciduous montane forests,"477",0.088746589120692,,Appenine_deciduous_montane_forest,0.145000003278255
"230",18251,,0.818181818181818,Appenine deciduous montane forests,"306",0.088746589120692,,Appenine_deciduous_montane_forest,0.170000001788139
"231",18252,,1.53409090909091,Appenine deciduous montane forests,"1742",0.421574777604048,,Appenine_deciduous_montane_forest,0.279166678587596
"232",18252,,1.53409090909091,Appenine deciduous montane forests,"243",0.421574777604048,,Appenine_deciduous_montane_forest,
"233",18253,,0.431818181818182,Appenine deciduous montane forests,"75",0.284830861410882,,Appenine_deciduous_montane_forest,-0.109999999403954
"234",18333,,0.535714285714286,Appenine deciduous montane forests,"913",0.397974323529445,,Appenine_deciduous_montane_forest,0.325555568353997
