stat,pool,time,period,0
std,delta_B,Global,2011-2019,555188998805265.94
std,delta_B,Global,1996-2019,509372572761282.8
std,delta_OC,Africa,1996-2000,125519214121004.58
std,delta_OC,Africa,2001-2010,110593380486350.42
std,delta_OC,Africa,2011-2019,121606791764446.72
std,delta_OC,Africa,1996-2019,109557330242392.3
std,delta_OC,Australia,1996-2000,167269695663184.97
std,delta_OC,Australia,2001-2010,42791616361895.89
std,delta_OC,Australia,2011-2019,76327256184464.47
std,delta_OC,Australia,1996-2019,57597046269438.67
std,delta_OC,East Asia,1996-2000,95466680840375.83
std,delta_OC,East Asia,2001-2010,65620307677231.35
std,delta_OC,East Asia,2011-2019,95985133987368.16
std,delta_OC,East Asia,1996-2019,62761060890351.78
std,delta_OC,Europe,1996-2000,92900146148469.11
std,delta_OC,Europe,2001-2010,115587460610397.56
std,delta_OC,Europe,2011-2019,77086989357940.8
std,delta_OC,Europe,1996-2019,89957841840611.78
std,delta_OC,North America,1996-2000,107549766958208.84
std,delta_OC,North America,2001-2010,107694523597852.56
std,delta_OC,North America,2011-2019,131195747449765.4
std,delta_OC,North America,1996-2019,104860728513521.9
std,delta_OC,Other,1996-2000,28970525444672.086
std,delta_OC,Other,2001-2010,22499909133439.96
std,delta_OC,Other,2011-2019,21666396348315.96
std,delta_OC,Other,1996-2019,20791832349497.64
std,delta_OC,Russia,1996-2000,122149663824684.77
std,delta_OC,Russia,2001-2010,145076484903759.5
std,delta_OC,Russia,2011-2019,129559022177867.31
std,delta_OC,Russia,1996-2019,127842396840118.86
std,delta_OC,South America,1996-2000,178128282018409.47
std,delta_OC,South America,2001-2010,67017431196818.47
std,delta_OC,South America,2011-2019,90872271568842.92
std,delta_OC,South America,1996-2019,74494815889281.05
std,delta_OC,South Asia,1996-2000,32526434734054.047
std,delta_OC,South Asia,2001-2010,33716995902517.387
std,delta_OC,South Asia,2011-2019,34574093477808.117
std,delta_OC,South Asia,1996-2019,29978500689911.367
std,delta_OC,Southeast Asia,1996-2000,88614748855577.28
std,delta_OC,Southeast Asia,2001-2010,59272319145105.984
std,delta_OC,Southeast Asia,2011-2019,47142942499597.08
std,delta_OC,Southeast Asia,1996-2019,54707491541957.34
std,delta_OC,Global,1996-2000,674712829335993.6
std,delta_OC,Global,2001-2010,460238508602446.8
std,delta_OC,Global,2011-2019,455767284831919.1
std,delta_OC,Global,1996-2019,457154870253537.75
std,delta_C,Africa,1996-2000,260619265193504.4
std,delta_C,Africa,2001-2010,146330741009854.7
std,delta_C,Africa,2011-2019,148297030795401.56
std,delta_C,Africa,1996-2019,156788569959648.62
std,delta_C,Australia,1996-2000,219543489061376.16
std,delta_C,Australia,2001-2010,50251456588756.18
std,delta_C,Australia,2011-2019,67587893801154.055
std,delta_C,Australia,1996-2019,62993487438380.65
std,delta_C,East Asia,1996-2000,115669739234461.23
std,delta_C,East Asia,2001-2010,74213719212167.33
std,delta_C,East Asia,2011-2019,127129694282982.42
std,delta_C,East Asia,1996-2019,82037460005703.22
std,delta_C,Europe,1996-2000,90175412324387.78
std,delta_C,Europe,2001-2010,106858389975581.44
std,delta_C,Europe,2011-2019,84526767999094.25
std,delta_C,Europe,1996-2019,85412957097007.48
std,delta_C,North America,1996-2000,123020575228559.42
std,delta_C,North America,2001-2010,113102429885543.3
std,delta_C,North America,2011-2019,159225654307525.75
std,delta_C,North America,1996-2019,120538065401485.78
std,delta_C,Other,1996-2000,34760092553815.844
std,delta_C,Other,2001-2010,20435437054030.688
std,delta_C,Other,2011-2019,25552169927167.832
std,delta_C,Other,1996-2019,19018707933220.805
