stat,pool,time,period,0
std,delta_B,Southeast Asia,1993-2019,78276879428325.73
std,delta_B,Global,1993-2000,645138035866449.0
std,delta_B,Global,2001-2010,289434443758419.4
std,delta_B,Global,2011-2019,367063605177474.7
std,delta_B,Global,1993-2019,389176296897782.5
std,delta_OC,Africa,1993-2000,217185457802703.9
std,delta_OC,Africa,2001-2010,229072954059270.3
std,delta_OC,Africa,2011-2019,200537461309565.5
std,delta_OC,Africa,1993-2019,125728213251435.5
std,delta_OC,Australia,1993-2000,131862415762640.1
std,delta_OC,Australia,2001-2010,46879223876459.734
std,delta_OC,Australia,2011-2019,220320301564324.3
std,delta_OC,Australia,1993-2019,84978837106686.77
std,delta_OC,East Asia,1993-2000,94282808028456.98
std,delta_OC,East Asia,2001-2010,113721946045105.64
std,delta_OC,East Asia,2011-2019,85846242365370.53
std,delta_OC,East Asia,1993-2019,58079881249712.52
std,delta_OC,Europe,1993-2000,70896208737760.12
std,delta_OC,Europe,2001-2010,79349533187329.81
std,delta_OC,Europe,2011-2019,72246943861239.97
std,delta_OC,Europe,1993-2019,43415647821698.34
std,delta_OC,North America,1993-2000,166598919773995.72
std,delta_OC,North America,2001-2010,61013712407475.82
std,delta_OC,North America,2011-2019,280306734475280.0
std,delta_OC,North America,1993-2019,108062632421869.31
std,delta_OC,Other,1993-2000,20707540978649.082
std,delta_OC,Other,2001-2010,19563039187401.066
std,delta_OC,Other,2011-2019,73009348274811.38
std,delta_OC,Other,1993-2019,26122906561336.6
std,delta_OC,Russia,1993-2000,108511950374414.45
std,delta_OC,Russia,2001-2010,103419668778185.17
std,delta_OC,Russia,2011-2019,184510687230803.25
std,delta_OC,Russia,1993-2019,79269058366661.42
std,delta_OC,South America,1993-2000,241498500792794.38
std,delta_OC,South America,2001-2010,218605722854863.2
std,delta_OC,South America,2011-2019,171850699322319.94
std,delta_OC,South America,1993-2019,122298346409245.1
std,delta_OC,South Asia,1993-2000,31671887498153.81
std,delta_OC,South Asia,2001-2010,22495706156742.55
std,delta_OC,South Asia,2011-2019,35543801849845.73
std,delta_OC,South Asia,1993-2019,17258501441271.213
std,delta_OC,Southeast Asia,1993-2000,114237463227284.3
std,delta_OC,Southeast Asia,2001-2010,178003444787187.7
std,delta_OC,Southeast Asia,2011-2019,75608185506176.44
std,delta_OC,Southeast Asia,1993-2019,78276879428325.73
std,delta_OC,Global,1993-2000,645138035866449.0
std,delta_OC,Global,2001-2010,289434443758419.4
std,delta_OC,Global,2011-2019,367063605177474.7
std,delta_OC,Global,1993-2019,389176296897782.5
std,delta_C,Africa,1993-2000,695319221395232.5
std,delta_C,Africa,2001-2010,243537760839471.22
std,delta_C,Africa,2011-2019,202938167928674.28
std,delta_C,Africa,1993-2019,234853847826943.7
std,delta_C,Australia,1993-2000,332461067441402.5
std,delta_C,Australia,2001-2010,89716895697161.45
std,delta_C,Australia,2011-2019,100658479776662.84
std,delta_C,Australia,1993-2019,109240787881765.8
std,delta_C,East Asia,1993-2000,105144413873975.38
std,delta_C,East Asia,2001-2010,258846724579480.94
std,delta_C,East Asia,2011-2019,266495127857468.3
std,delta_C,East Asia,1993-2019,134359716423339.14
std,delta_C,Europe,1993-2000,149101757790082.88
std,delta_C,Europe,2001-2010,258890923911711.84
std,delta_C,Europe,2011-2019,168181859928094.25
std,delta_C,Europe,1993-2019,119534721062997.14
std,delta_C,North America,1993-2000,242773211422519.0
std,delta_C,North America,2001-2010,329506717856217.56
std,delta_C,North America,2011-2019,260649268218782.5
std,delta_C,North America,1993-2019,166182565637764.25
std,delta_C,Russia,1993-2000,178283336517062.34
std,delta_C,Russia,2001-2010,270768112906701.28
std,delta_C,Russia,2011-2019,195825311803155.75
std,delta_C,Russia,1993-2019,130798568398735.36
std,delta_C,South America,1993-2000,466060564946680.94
std,delta_C,South America,2001-2010,416582977159082.4
std,delta_C,South America,2011-2019,228627037593686.53
std,delta_C,South America,1993-2019,220641385191578.2
std,delta_C,South Asia,1993-2000,299627106647101.06
std,delta_C,South Asia,2001-2010,168413376562980.5
std,delta_C,South Asia,2011-2019,164022948528672.9
std,delta_C,South Asia,1993-2019,121497187750003.17
std,delta_C,Southeast Asia,1993-2000,583894304259628.0
std,delta_C,Southeast Asia,2001-2010,269981060149697.0
std,delta_C,Southeast Asia,2011-2019,213777627344329.84
std,delta_C,Southeast Asia,1993-2019,212149595940718.34
std,delta_C,Global,1993-2000,461107280180017.44
std,delta_C,Global,2001-2010,518064466755200.3
std,delta_C,Global,2011-2019,584551996916081.5
std,delta_C,Global,1993-2019,521220023348432.8
