stat,pool,time,period,0
std,delta_OC,Russia,2001-2010,145076484903759.5
std,delta_OC,Russia,2011-2019,129559022177867.31
std,delta_OC,Russia,1993-2019,125707109308782.92
std,delta_OC,South America,1993-2000,100676832637806.72
std,delta_OC,South America,2001-2010,67017431196818.47
std,delta_OC,South America,2011-2019,90872271568842.92
std,delta_OC,South America,1993-2019,69944471167979.734
std,delta_OC,South Asia,1993-2000,27274239701552.473
std,delta_OC,South Asia,2001-2010,33716995902517.387
std,delta_OC,South Asia,2011-2019,34574093477808.117
std,delta_OC,South Asia,1993-2019,29128562827973.27
std,delta_OC,Southeast Asia,1993-2000,69898475344531.69
std,delta_OC,Southeast Asia,2001-2010,59272319145105.984
std,delta_OC,Southeast Asia,2011-2019,47142942499597.08
std,delta_OC,Southeast Asia,1993-2019,53764374070543.41
std,delta_OC,Global,1993-2000,540561781986463.75
std,delta_OC,Global,2001-2010,460238508602446.8
std,delta_OC,Global,2011-2019,455767284831919.1
std,delta_OC,Global,1993-2019,453660088391842.8
std,delta_C,Africa,1993-2000,155947694061620.5
std,delta_C,Africa,2001-2010,146330741009854.7
std,delta_C,Africa,2011-2019,148297030795401.56
std,delta_C,Africa,1993-2019,135560412838968.6
std,delta_C,Australia,1993-2000,139854728327348.22
std,delta_C,Australia,2001-2010,50251456588756.18
std,delta_C,Australia,2011-2019,67587893801154.055
std,delta_C,Australia,1993-2019,60848199054934.93
std,delta_C,East Asia,1993-2000,109639622785361.38
std,delta_C,East Asia,2001-2010,74213719212167.33
std,delta_C,East Asia,2011-2019,127129694282982.42
std,delta_C,East Asia,1993-2019,79600250901076.81
std,delta_C,Europe,1993-2000,94342723431419.64
std,delta_C,Europe,2001-2010,106858389975581.44
std,delta_C,Europe,2011-2019,84526767999094.25
std,delta_C,Europe,1993-2019,87790091476661.6
std,delta_C,North America,1993-2000,123993683785866.42
std,delta_C,North America,2001-2010,113102429885543.3
std,delta_C,North America,2011-2019,159225654307525.75
std,delta_C,North America,1993-2019,120151898011740.9
std,delta_C,Other,1993-2000,30836772754913.3
std,delta_C,Other,2001-2010,20435437054030.688
std,delta_C,Other,2011-2019,25552169927167.832
std,delta_C,Other,1993-2019,20417972549179.348
std,delta_C,Russia,1993-2000,110906519807687.17
std,delta_C,Russia,2001-2010,117142863535007.27
std,delta_C,Russia,2011-2019,148938187601638.88
std,delta_C,Russia,1993-2019,122219443229235.25
std,delta_C,South America,1993-2000,196375980274871.22
std,delta_C,South America,2001-2010,149346518384459.4
std,delta_C,South America,2011-2019,190737459268472.53
std,delta_C,South America,1993-2019,154327197034310.44
std,delta_C,South Asia,1993-2000,25156407036076.438
std,delta_C,South Asia,2001-2010,31208933201221.11
std,delta_C,South Asia,2011-2019,50301763028310.33
std,delta_C,South Asia,1993-2019,32476880688755.668
std,delta_C,Southeast Asia,1993-2000,74988808718088.33
std,delta_C,Southeast Asia,2001-2010,60188443807423.82
std,delta_C,Southeast Asia,2011-2019,59626546971132.734
std,delta_C,Southeast Asia,1993-2019,52106847881040.64
std,delta_C,Global,1993-2000,568769482948232.6
std,delta_C,Global,2001-2010,426858784597312.0
std,delta_C,Global,2011-2019,563348598940174.4
std,delta_C,Global,1993-2019,469848298868318.1
