stat,pool,time,period,0
mean,delta_C,Europe,2001-2010,307664345309547.1
mean,delta_C,Europe,2011-2019,319195807436308.7
mean,delta_C,Europe,1996-2019,327296352049720.06
mean,delta_C,North America,1996-2000,197789915645011.6
mean,delta_C,North America,2001-2010,504451957100442.75
mean,delta_C,North America,2011-2019,463974727248613.2
mean,delta_C,North America,1996-2019,425385070602791.9
mean,delta_C,Other,1996-2000,27542365776216.71
mean,delta_C,Other,2001-2010,-4900392273013.699
mean,delta_C,Other,2011-2019,12113685580022.045
mean,delta_C,Other,1996-2019,8238794848797.708
mean,delta_C,Russia,1996-2000,513843955905453.25
mean,delta_C,Russia,2001-2010,462716758009520.9
mean,delta_C,Russia,2011-2019,631085037331565.6
mean,delta_C,Russia,1996-2019,536506362316940.25
mean,delta_C,South America,1996-2000,-77321733903373.05
mean,delta_C,South America,2001-2010,-281624515380513.06
mean,delta_C,South America,2011-2019,-177088005430830.94
mean,delta_C,South America,1996-2019,-199860244674978.1
mean,delta_C,South Asia,1996-2000,11369331685740.242
mean,delta_C,South Asia,2001-2010,63440346506416.84
mean,delta_C,South Asia,2011-2019,109042005724941.03
mean,delta_C,South Asia,1996-2019,69692840625722.45
mean,delta_C,Southeast Asia,1996-2000,-304867361884218.6
mean,delta_C,Southeast Asia,2001-2010,-18947439236157.75
mean,delta_C,Southeast Asia,2011-2019,-4375066880907.0654
mean,delta_C,Southeast Asia,1996-2019,-73049450154618.11
mean,delta_C,Global,1996-2000,936528021524849.2
mean,delta_C,Global,2001-2010,1307433055674759.8
mean,delta_C,Global,2011-2019,1652791110609501.2
mean,delta_C,Global,1996-2019,1359670444160723.2
std,delta_B,Africa,1996-2000,316194182518258.94
std,delta_B,Africa,2001-2010,226537332687760.56
std,delta_B,Africa,2011-2019,200650378882194.62
std,delta_B,Africa,1996-2019,137515730632869.14
std,delta_B,Australia,1996-2000,156065352694670.12
std,delta_B,Australia,2001-2010,47178604491868.29
std,delta_B,Australia,2011-2019,222249229188849.0
std,delta_B,Australia,1996-2019,91595277503003.22
std,delta_B,East Asia,1996-2000,84011799568397.16
std,delta_B,East Asia,2001-2010,114376395063551.61
std,delta_B,East Asia,2011-2019,86691242149527.38
std,delta_B,East Asia,1996-2019,60285642770092.46
std,delta_B,Europe,1996-2000,60542446610446.55
std,delta_B,Europe,2001-2010,79418669076534.64
std,delta_B,Europe,2011-2019,73071115640223.6
std,delta_B,Europe,1996-2019,44776792472995.336
std,delta_B,North America,1996-2000,100803814784363.23
std,delta_B,North America,2001-2010,61408572259841.17
std,delta_B,North America,2011-2019,285967337360884.3
std,delta_B,North America,1996-2019,112230381100689.03
std,delta_B,Other,1996-2000,17650108363356.395
std,delta_B,Other,2001-2010,19603667470819.08
std,delta_B,Other,2011-2019,72555002466434.45
std,delta_B,Other,1996-2019,28644766191542.598
std,delta_B,Russia,1996-2000,88084669826841.22
std,delta_B,Russia,2001-2010,102373197266612.67
std,delta_B,Russia,2011-2019,186546252912421.7
std,delta_B,Russia,1996-2019,83963861902862.53
std,delta_B,South America,1996-2000,208211563253729.75
std,delta_B,South America,2001-2010,221114500662142.75
std,delta_B,South America,2011-2019,170434289572360.1
std,delta_B,South America,1996-2019,120227209877983.64
